,Crash Type,Collision Type,Crash Severity,Intersection Type,Crash ID,Crash Year
214224,B,6,4.0,3,1603342,2015.0
214229,E,3,4.0, ,1603344,2015.0
214236,D,6,4.0,1,1603352,2015.0
214241,H,6,4.0,1,1603353,2015.0
214247,3,0,4.0,1,1603356,2015.0
214251,D,3,4.0, ,1603362,2015.0
214256,8,9,4.0, ,1603369,2015.0
214259,B,1,4.0,1,1603376,2015.0
214264,8,9,4.0, ,1603381,2015.0
214269,C,3,4.0,3,1603388,2015.0
214274,8,9,4.0, ,1603443,2015.0
214277,E,3,4.0, ,1603454,2015.0
214288,E,3,4.0,1,1603456,2015.0
214293,E,3,4.0, ,1603464,2015.0
214300,6,1,4.0,1,1603469,2015.0
214304,E,3,4.0, ,1603472,2015.0
214311,E,3,4.0,1,1603479,2015.0
214316,C,5,4.0, ,1603487,2015.0
214321,6,1,4.0,1,1603494,2015.0
214325,E,3,4.0, ,1603503,2015.0
214330,E,3,4.0,3,1603509,2015.0
214336,B,6,4.0,3,1603513,2015.0
214341,8,9,4.0,3,1603516,2015.0
214344,G,2,4.0, ,1603525,2015.0
214349,3,0,4.0,1,1603528,2015.0
214353,8,9,4.0, ,1603531,2015.0
214357,E,3,4.0, ,1603541,2015.0
214364,6,1,4.0,1,1603544,2015.0
214368,E,3,4.0, ,1603549,2015.0
214382,D,6,4.0,1,1603554,2015.0
214388,E,3,4.0, ,1603560,2015.0
214397,E,3,4.0, ,1603563,2015.0
214404,B,6,4.0, ,1603566,2015.0
214410,C,3,4.0, ,1603569,2015.0
214416,E,3,4.0,1,1603574,2015.0
214421,E,3,4.0,1,1603577,2015.0
214431,8,9,4.0,1,1603580,2015.0
214434,2,4,4.0, ,1603585,2015.0
214440,F,6,4.0, ,1603586,2015.0
214445,C,3,4.0, ,1603595,2015.0
214454,E,3,4.0,1,1603596,2015.0
214461,6,6,4.0,1,1603604,2015.0
214465,B,1,4.0,1,1603606,2015.0
214471,&,8,4.0, ,1603611,2015.0
214474,D,6,4.0,3,1603612,2015.0
214479,3,0,4.0, ,1603615,2015.0
214483,F,6,4.0,1,1603617,2015.0
214488,B,1,4.0,1,1603620,2015.0
214493,H,6,4.0,4,1603621,2015.0
214498,6,1,4.0,1,1603626,2015.0
214502,E,3,4.0, ,1603629,2015.0
214509,C,5,4.0, ,1603630,2015.0
214514,E,3,4.0,1,1603647,2015.0
214519,E,3,4.0,1,1603648,2015.0
214525,E,3,4.0,1,1603653,2015.0
214530,E,3,4.0,1,1603658,2015.0
214536,B,6,4.0,3,1603663,2015.0
214541,3,0,4.0, ,1603667,2015.0
214545,E,3,4.0,1,1603669,2015.0
214550,E,3,4.0, ,1603670,2015.0
214556,C,3,4.0, ,1603676,2015.0
214561,8,9,4.0, ,1603679,2015.0
214564,8,9,4.0, ,1603687,2015.0
214570,E,3,4.0,3,1603690,2015.0
